City,Month,Disaster,Value,Unit,Threshold,Above/Below,Severity,Scale
New York City,2026-01,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2026-02,Heatwave,8.850224824151931,°C,32.0,Below,Low,2.8726944419340477
New York City,2026-03,Heatwave,9.48452210262101,°C,32.0,Below,Low,2.998153863192635
New York City,2026-04,Heatwave,13.958144344688234,°C,32.0,Below,Medium,3.883004037505119
New York City,2026-05,Heatwave,19.71958988012693,°C,32.0,Below,Medium,5.022576359545673
New York City,2026-06,Heatwave,29.60049378276756,°C,32.0,Below,High,6.976947798958124
New York City,2026-07,Heatwave,29.630393547974545,°C,32.0,Below,High,6.982861756602226
New York City,2026-08,Heatwave,29.63832114584396,°C,32.0,Below,High,6.984429778213588
New York City,2026-09,Heatwave,29.59316995010929,°C,32.0,Below,High,6.975499197745582
New York City,2026-10,Heatwave,19.36936841539146,°C,32.0,Below,Medium,4.953305082859613
New York City,2026-11,Heatwave,13.593642743103135,°C,32.0,Below,Medium,3.8109082528707163
New York City,2026-12,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2027-01,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2027-02,Heatwave,12.56174257696016,°C,32.0,Below,Medium,3.6068058516221995
New York City,2027-03,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2027-04,Heatwave,14.312797935057064,°C,32.0,Below,Medium,3.9531519566359483
New York City,2027-05,Heatwave,19.31565453842355,°C,32.0,Below,Medium,4.94268086587698
New York City,2027-06,Heatwave,29.60088335189493,°C,32.0,Below,High,6.977024852918338
New York City,2027-07,Heatwave,29.62996883730218,°C,32.0,Below,High,6.982777751898175
New York City,2027-08,Heatwave,29.62091938744398,°C,32.0,Below,High,6.980987836064612
New York City,2027-09,Heatwave,29.60710708685417,°C,32.0,Below,High,6.978255862750097
New York City,2027-10,Heatwave,24.42628063853817,°C,32.0,Below,High,5.953525803343741
New York City,2027-11,Heatwave,14.016856852236057,°C,32.0,Below,Medium,3.8946169475200714
New York City,2027-12,Heatwave,13.089265999158195,°C,32.0,Below,Medium,3.7111461751516526
New York City,2028-01,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2028-02,Heatwave,9.473177415050474,°C,32.0,Below,Low,2.9959099659140684
New York City,2028-03,Heatwave,16.517566566592166,°C,32.0,Below,Medium,4.3892392707563825
New York City,2028-04,Heatwave,18.23124639928548,°C,32.0,Below,Medium,4.728192766743513
New York City,2028-05,Heatwave,23.272151757770214,°C,32.0,Below,High,5.725247444987159
New York City,2028-06,Heatwave,29.61529473215655,°C,32.0,Below,High,6.97987531986583
New York City,2028-07,Heatwave,29.63210778600752,°C,32.0,Below,High,6.983200820506198
New York City,2028-08,Heatwave,30.1379169086902,°C,32.0,Below,High,7.0832462123960145
New York City,2028-09,Heatwave,29.05198177249254,°C,32.0,Below,High,6.868456084270995
New York City,2028-10,Heatwave,19.352343017248547,°C,32.0,Below,Medium,4.9499375820516915
New York City,2028-11,Heatwave,13.099489570124234,°C,32.0,Below,Medium,3.713168323661719
New York City,2028-12,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2029-01,Heatwave,9.62654610271291,°C,32.0,Below,Low,3.026245184819247
New York City,2029-02,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841
New York City,2029-03,Heatwave,13.16283398125259,°C,32.0,Below,Medium,3.7256973907567414
New York City,2029-04,Heatwave,19.17093659697108,°C,32.0,Below,Medium,4.9140567021028865
New York City,2029-05,Heatwave,24.751565427078205,°C,32.0,Below,High,6.01786478555245
New York City,2029-06,Heatwave,29.59501136706701,°C,32.0,Below,High,6.975863416722477
New York City,2029-07,Heatwave,31.59413607293871,°C,32.0,Below,High,7.371275847353982
New York City,2029-08,Heatwave,31.40075714907833,°C,32.0,Below,High,7.333026892652983
New York City,2029-09,Heatwave,29.61131905203282,°C,32.0,Below,High,6.9790889590467575
New York City,2029-10,Heatwave,23.056291815375083,°C,32.0,Below,High,5.682551907161159
New York City,2029-11,Heatwave,13.515943603761244,°C,32.0,Below,Medium,3.7955399241942134
New York City,2029-12,Heatwave,12.35766714590567,°C,32.0,Below,Medium,3.5664412050404137
New York City,2030-01,Heatwave,9.003306304534101,°C,32.0,Below,Low,2.9029728533131864
New York City,2030-02,Heatwave,12.41617573650287,°C,32.0,Below,Medium,3.5780137817550686
New York City,2030-03,Heatwave,14.352648997394072,°C,32.0,Below,Medium,3.9610342089915123
New York City,2030-04,Heatwave,19.22346345529661,°C,32.0,Below,Medium,4.92444613536982
New York City,2030-05,Heatwave,24.05529538732248,°C,32.0,Below,High,5.880147599632496
New York City,2030-06,Heatwave,25.756804763091623,°C,32.0,Below,High,6.2166938671260015
New York City,2030-07,Heatwave,29.611521868949648,°C,32.0,Below,High,6.979129074768314
New York City,2030-08,Heatwave,29.6388636643624,°C,32.0,Below,High,6.984537084458871
New York City,2030-09,Heatwave,29.60190212201839,°C,32.0,Below,High,6.97722635829196
New York City,2030-10,Heatwave,21.51351477435807,°C,32.0,Below,Medium,5.377401749234908
New York City,2030-11,Heatwave,19.158944967115005,°C,32.0,Below,Medium,4.911684844311975
New York City,2030-12,Heatwave,12.2123835106318,°C,32.0,Below,Medium,3.537705151113466
New York City,2026-01,Drought,0.0020282123126647,mm,0.0621003741262693,Below,Low,1.0033132443804194
New York City,2026-01,Flood,0.0020282123126647,mm,50.0,Below,Low,1.0033132443804194
New York City,2026-02,Drought,0.0182629338594141,mm,0.0621003741262693,Below,Low,1.0298339392783662
New York City,2026-02,Flood,0.0182629338594141,mm,50.0,Below,Low,1.0298339392783662
New York City,2026-03,Drought,0.0364362124055259,mm,0.0621003741262693,Below,Low,1.059521419548906
New York City,2026-03,Flood,0.0364362124055259,mm,50.0,Below,Low,1.059521419548906
New York City,2026-04,Drought,0.0138482446083005,mm,0.0621003741262693,Below,Low,1.0226221970651792
New York City,2026-04,Flood,0.0138482446083005,mm,50.0,Below,Low,1.0226221970651792
New York City,2026-05,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2026-05,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2026-06,Drought,0.3905235569111028,mm,0.0621003741262693,Above,Low,1.6379509542850181
New York City,2026-06,Flood,0.3905235569111028,mm,50.0,Below,Low,1.6379509542850181
New York City,2026-07,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2026-07,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2026-08,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2026-08,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2026-09,Drought,0.4956131243358726,mm,0.0621003741262693,Above,Low,1.8096230304955006
New York City,2026-09,Flood,0.4956131243358726,mm,50.0,Below,Low,1.8096230304955006
New York City,2026-10,Drought,0.0351249027251919,mm,0.0621003741262693,Below,Low,1.0573792920200342
New York City,2026-10,Flood,0.0351249027251919,mm,50.0,Below,Low,1.0573792920200342
New York City,2026-11,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2026-11,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2026-12,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2026-12,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2027-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2027-01,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2027-02,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2027-02,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2027-03,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2027-03,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2027-04,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2027-04,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2027-05,Drought,0.0188615078903154,mm,0.0621003741262693,Below,Low,1.0308117570500879
New York City,2027-05,Flood,0.0188615078903154,mm,50.0,Below,Low,1.0308117570500879
New York City,2027-06,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2027-06,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2027-07,Drought,0.0981159623195104,mm,0.0621003741262693,Above,Low,1.160280143629269
New York City,2027-07,Flood,0.0981159623195104,mm,50.0,Below,Low,1.160280143629269
New York City,2027-08,Drought,2.7143602591399394,mm,0.0621003741262693,Above,Medium,5.434121033026015
New York City,2027-08,Flood,2.7143602591399394,mm,50.0,Below,Medium,5.434121033026015
New York City,2027-09,Drought,0.4749202367314746,mm,0.0621003741262693,Above,Low,1.7758195706003956
New York City,2027-09,Flood,0.4749202367314746,mm,50.0,Below,Low,1.7758195706003956
New York City,2027-10,Drought,3.1578379558136787,mm,0.0621003741262693,Above,High,6.15857674073006
New York City,2027-10,Flood,3.1578379558136787,mm,50.0,Below,High,6.15857674073006
New York City,2027-11,Drought,0.0170164676625746,mm,0.0621003741262693,Below,Low,1.027797738681282
New York City,2027-11,Flood,0.0170164676625746,mm,50.0,Below,Low,1.027797738681282
New York City,2027-12,Drought,0.001033879507821,mm,0.0621003741262693,Below,Low,1.001688923515516
New York City,2027-12,Flood,0.001033879507821,mm,50.0,Below,Low,1.001688923515516
New York City,2028-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2028-01,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2028-02,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2028-02,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2028-03,Drought,0.0186324193004417,mm,0.0621003741262693,Below,Low,1.0304375228152016
New York City,2028-03,Flood,0.0186324193004417,mm,50.0,Below,Low,1.0304375228152016
New York City,2028-04,Drought,0.0112633752033318,mm,0.0621003741262693,Below,Low,1.018399609530012
New York City,2028-04,Flood,0.0112633752033318,mm,50.0,Below,Low,1.018399609530012
New York City,2028-05,Drought,0.0187845737021845,mm,0.0621003741262693,Below,Low,1.030686079001052
New York City,2028-05,Flood,0.0187845737021845,mm,50.0,Below,Low,1.030686079001052
New York City,2028-06,Drought,0.0023099699779454,mm,0.0621003741262693,Below,Low,1.0037735176936726
New York City,2028-06,Flood,0.0023099699779454,mm,50.0,Below,Low,1.0037735176936726
New York City,2028-07,Drought,0.0076867447198422,mm,0.0621003741262693,Below,Low,1.012556902247218
New York City,2028-07,Flood,0.0076867447198422,mm,50.0,Below,Low,1.012556902247218
New York City,2028-08,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2028-08,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2028-09,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2028-09,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2028-10,Drought,0.095027901865617,mm,0.0621003741262693,Above,Low,1.1552355539276045
New York City,2028-10,Flood,0.095027901865617,mm,50.0,Below,Low,1.1552355539276045
New York City,2028-11,Drought,1.459540037173292,mm,0.0621003741262693,Above,Medium,3.3842734786517563
New York City,2028-11,Flood,1.459540037173292,mm,50.0,Below,Medium,3.3842734786517563
New York City,2028-12,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2028-12,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-01,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-02,Drought,0.3092594730153074,mm,0.0621003741262693,Above,Low,1.5051996798664515
New York City,2029-02,Flood,0.3092594730153074,mm,50.0,Below,Low,1.5051996798664515
New York City,2029-03,Drought,0.0329665778969587,mm,0.0621003741262693,Below,Low,1.053853498608955
New York City,2029-03,Flood,0.0329665778969587,mm,50.0,Below,Low,1.053853498608955
New York City,2029-04,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-04,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-05,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-05,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-06,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-06,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-07,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-07,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-08,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-08,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-09,Drought,0.0008316467847054,mm,0.0621003741262693,Below,Low,1.001358560451839
New York City,2029-09,Flood,0.0008316467847054,mm,50.0,Below,Low,1.001358560451839
New York City,2029-10,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2029-10,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2029-11,Drought,0.0184344643765754,mm,0.0621003741262693,Below,Low,1.03011414787315
New York City,2029-11,Flood,0.0184344643765754,mm,50.0,Below,Low,1.03011414787315
New York City,2029-12,Drought,0.2659850912807118,mm,0.0621003741262693,Above,Low,1.4345075727320187
New York City,2029-12,Flood,0.2659850912807118,mm,50.0,Below,Low,1.4345075727320187
New York City,2030-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2030-01,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2030-02,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2030-02,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2030-03,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0
New York City,2030-03,Flood,0.0,mm,50.0,Below,Low,1.0
New York City,2030-04,Drought,0.01436805777968,mm,0.0621003741262693,Below,Low,1.023471352776436
New York City,2030-04,Flood,0.01436805777968,mm,50.0,Below,Low,1.023471352776436
New York City,2030-05,Drought,0.036417154469668,mm,0.0621003741262693,Below,Low,1.0594902869113172
